 #  n_B [fm^{-3}]   eps[MeV/fm^3]   p [MeV/fm^3]
  0.55154869910497384        560.33462099547887        26.857897964746005     
  0.56153873939928889        570.97735003774972        27.646076919900835     
  0.57161521148985062        581.72643773152265        28.449532528102605     
  0.58177830892869165        592.58235495795998        29.268426907386772     
  0.59202822903073038        603.54557796255915        30.102923021407651     
  0.60236517281188928        614.61658831338741        30.953184687672891     
  0.61278934492974446        625.79587286167214        31.819376585732897     
  0.62330095362651150        637.08392370454771        32.701664265330145     
  0.63390021067437774        648.48123814999951        33.600214154509331     
  0.64458733132298540        659.98831868380398        34.515193567700678     
  0.65536253424899449        671.60567293840973        35.446770713760223     
  0.66622604150765974        683.33381366370543        36.395114703989364     
  0.67717807848628409        695.17325869953811        37.360395560124886     
  0.68821887385952896        707.12453094998318        38.342784222301781     
  0.69934865954642478        719.18815835920145        39.342452556994928     
